DataSource,StationID,Year,StationID_Trend,LongitudeDD,LatitudeDD,stratum,designweight,weightcategory,station,state,status,comment,set,Basin,SubBasin,BayShed,BayPanel,EcoRegion,BioRegion,Panel,BioPanel,Order,BasinSize,StreamSizeCat,StreamSizeCatPhase,AREA_SQ_MILES,IR2008,IR2010,IR2012,IR2014,IR2016,IR2018,IR2020,DO,pH,SpCond,TN,TP,TDS,NH4,NO3,TKN,Ortho-P,Turb,TSS,Na,K,Cl,Sf,70331VFine,SSCCOARSE,SSCFINE,SSCTOTAL,LRBS,Slope,FN_PCT,SA_PCT,SA_FN_PCT,LSUB_DMM,BL_CB_GR_Embed_PCT,Embed_PCT,TotHab,TotTaxa,EPTTax,VEphem,VPTHydropsychidae,VScrap,VChiro,V2Dom,HBI,VHapto,EPTInd,VSCIVCPMI,MetalCCU,ARSENICppm,BERYLLIUMppm,CADMIUMppm,CHROMIUMppm,COPPERppm,LEADppm,MANGppm,NICKELppm,SILVERppm,ZINCppm,ANTIMONYppm,ALUMINUMppm,SELENIUMppm,IRONppm,MERCURYppm,THALLIUMppm,CALCIUM,MAGNESIUM,ARSENIC,BARIUM,BERYLLIUM,CADMIUM,CHROMIUM,COPPER,IRON,LEAD,MANGANESE,THALLIUM,NICKEL,SILVER,ZINC,ANTIMONY,ALUMINUM,SELENIUM,HARDNESS,MERCURY,Hg-C,YearSampled,NLCD,totalArea_sqMile,PWater,N_INDEX,PFOR,PWETL,PSHRB,PNG,PBAR,PTotBAR,U_INDEX,PURB,PMBAR,PAGT,PAGP,PAGC,S,H,Hprime,C,RNAT1,RFOR1,RWETL1,RSHRB1,RNG1,RBAR1,RTotBAR1,RHUM1,RURB1,RMBAR1,RAGT1,RAGP1,RAGC1,RNAT30,RFOR30,RWETL30,RSHRB30,RNG30,RBAR30,RTotBAR30,RHUM30,RURB30,RMBAR30,RAGT30,RAGP30,RAGC30,RNAT120,RFOR120,RWETL120,RSHRB120,RNG120,RBAR120,RTotBAR120,RHUM120,RURB120,RMBAR120,RAGT120,RAGP120,RAGC120,sqMileImp,wshdImpPCT,MunMajor,MunMinor,IndMajor,IndMinor,damcount,STRMLEN,STRMDENS,ELEVMIN,ELEVMAX,ELEVMEAN,ELEVSD,ELEVRANGE,SLPMIN,SLPMAX,SLPMEAN,SLPSD,SLPRANGE,wshdRain_mmyr,siteRain_mmyr,wshdRain_inyr,siteRain_inyr,wshdPOP2000,POPDENS2000,wshdPOP2010,POPDENS2010,POPCHG2000_2010,RDLEN,RDLEN120,STXRD_CNT,RDDENS,pctRoadLengthInRiparian,STXRD
State ProbMon,1AISC004.64,2018,1AISC004.64,-78.28862172,39.30575959,1,541.5024,3,780,VA,TS,Target,1,Potomac-Shenandoah,Potomac,Bay,BayPhase2,Central Appalachian Ridges and Valleys,Mountain,Phase2,Phase4,3,3,Medium,Phase2Medium,15.69330753,1,1,1,1,1,1,2020,8.81,7.52,127.5,1.24,7.00E-02,70,1.50E-02,1.05,0.3,0.05,5.47,9,6.675,1.69,12.3,9.45,51.8,3.96,4.26,8.22,0.493956785,0.4875,0.952380952,5.714285714,6.666666667,1.924050218,72.72727273,14.36363636,172,13.5,6.5,26.82,9.55,17.73,27.28,57.73,4.79,49.55,59,54.49,0.8794,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.54,2.84,0.3,30,0.2,0.2,0.3,0.53,10,0.2,5.68,0.02,0.4,0.02,0.4,0.04,5.19,0.4,30,0.7,NA,2018,2016,15.69330753,2.501937341,68.66157423,67.29990037,0,0.693014502,1.355031551,0.006642312,9.726558176,28.14347393,11.70375291,9.719915864,16.43972102,15.62493081,0.814790214,13,1.637886414,0.638564816,0.738337972,85.34482759,85.34482759,0,0,0,0,6.896551724,9.482758621,6.896551724,6.896551724,2.586206897,2.586206897,0,76.07788595,74.96522949,0,0.208623088,1.077885953,0.034770515,5.319888734,12.16968011,5.66759388,5.28511822,6.502086231,6.467315716,0.034770515,75.15908176,73.62867499,0,0.330245671,1.498187676,0.03221909,5.807490938,17.72855417,6.459927507,5.775271849,11.26862666,10.91421667,0.354409988,0.172390781,1.098416916,0,1,0,0,2,41720.05181,1.026431934,205,465,316.8569162,42.0608674,260,0,30.52552986,6.569165096,3.677985834,30.52552986,4743.86,945.6,186.7662426,37.22836656,1001.850553,24.64837304,2877.301949,70.78981152,187.1987185,198460.6809,41287.4257,50,3.688378724,20.80383153,1.198464475
State ProbMon,1APOR000.52,2018,1APOR000.52,-77.52442814,38.43496646,1,541.5024,3,781,VA,TS,Target,1,Potomac-Shenandoah,Potomac,Bay,BayPhase2,Piedmont,Piedmont,Phase2,Phase4,3,3,Medium,Phase2Medium,10.39278622,1,1,1,1,1,1,2020,11.945,7.38,125.5,0.67,4.50E-02,102,1.50E-02,0.295,0.4,0.03,9.5,3,5.92,1.045,9.74,7.33,91.3,0.23,2.46,2.69,-0.204710948,0.158333333,6.666666667,42.85714286,49.52380952,0.830103093,40,58.27272727,121.5,12.5,4.5,34.09,15.5,29.55,26.82,56.82,4.84,44.09,60.5,55.47,0.6436,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.3,5.04,0.2,13,0.2,0.2,0.59,0.83,154,0.2,66.1,0.02,0.2,0.02,0.4,0.03,7.7,0.4,54,0.5,NA,2018,2016,10.39278622,0.280682995,50.51625622,48.64169479,4.918635346,2.32231764,1.720854078,0.106926855,8.527416714,42.00888829,9.322685201,8.420489859,32.68620309,26.83864069,5.847562402,15,1.86559365,0.688906598,0.79851793,41.86046512,37.20930233,34.88372093,0,4.651162791,0,9.302325581,23.25581395,9.302325581,9.302325581,13.95348837,13.95348837,0,39.18613414,36.02110023,38.88470234,0.452147702,3.089675961,0.07535795,5.048982668,20.49736247,5.048982668,4.973624717,15.4483798,14.61944235,0.828937453,47.95955218,44.36619718,23.34777898,0.686168292,3.196099675,0.343084146,5.633802817,27.42867461,5.633802817,5.290718671,21.79487179,19.95305164,1.841820152,0.073567531,0.707421392,0,0,0,0,0,19501.03064,0.724478284,54,128,89.07597002,12.55659577,74,0,13.73904514,3.178715325,1.716162768,13.73904514,2066.9,1038.63,81.37405969,40.89096696,1645.745435,61.14070846,2247.124201,83.48239208,36.54142091,71886.51972,6185.632037,14,1.241501708,8.604717632,0.717910774
State ProbMon,1AQUA004.14,2018,1AQUA004.14,-77.32233837,38.56689748,1,541.5024,3,782,VA,TS,Target,1,Potomac-Shenandoah,Potomac,Bay,BayPhase2,Southeastern Plains,Coast,Phase2,Phase4,3,3,Medium,Phase2Medium,27.12256862,1,1,1,1,1,1,2020,10.9,6.79,76.5,0.175,7.00E-03,64,0.02,3.50E-02,0.15,0.01,3.58,2,5.545,1.195,8.54,9.88,72.7,0.29,0.78,1.08,-0.459012611,0.15625,0,55.23809524,55.23809524,0.810901129,14.54545455,69.09090909,107.5,21,11.5,23.18,12.7,20,27.73,46.37,4.87,54.09,47.5,75.44,3.388,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.9,2.31,0.2,24,0.2,0.1,0.26,5.26,103,0.12,54.1,0.01,0.97,0.02,29.2,0.02,19,0.3,22,0.6,NA,2018,2016,27.12256862,0.048682373,83.04956634,82.75362876,4.157218443,1.154284689,0.252379671,0.028184532,6.51318908,11.60562153,11.10598665,6.485004548,0.499634882,0.427892438,0.071742445,15,1.42369059,0.525725332,0.656160116,44.78527607,44.78527607,38.65030675,0,0,0,9.81595092,15.95092025,15.95092025,9.81595092,0,0,0,57.84742468,57.72594752,34.11078717,0,0.048590865,0.024295432,5.029154519,7.798833819,7.653061224,5.004859086,0.145772595,0.145772595,0,71.41373341,71.21177149,17.62839008,0.276976342,0.115406809,0.034622043,6.364685516,10.5135603,10.19042123,6.330063474,0.323139065,0.276976342,0.046162724,0.679809024,2.506283869,0,0,0,0,4,60576.62307,0.86233109,1,129,81.15676533,26.98190366,128,0,25.98725128,4.525835045,2.813505053,25.98725128,7146.18,1033.6,281.3458212,40.69293536,4750.223515,67.6212244,6009.016867,85.54062281,26.49966571,198031.6215,35717.20054,54,2.291531127,18.03610972,0.891432986
State ProbMon,1AXMJ000.42,2018,1AXMJ000.42_2018,-77.5055,38.6375,1,947.6292,2,783,VA,TS,Target,1,Potomac-Shenandoah,Potomac,Bay,BayPhase2,Piedmont,Piedmont,Phase2,Phase4,2,2,Small,Phase2Small,4.649401917,1,1,1,1,1,1,2020,11.025,6.78,53,0.295,0.03,65,1.90E-02,0.06,0.25,0.02,20.5,8,4.345,1.125,5.03,4.33,80.7,1.06,4.45,5.52,0.121343768,0.56875,5.714285714,12.38095238,18.0952381,1.594482699,60,37.27272727,163,16,8,21.37,24.55,14.09,28.64,48.64,4.42,54.55,53.5,62.75,1.864,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.74,1.68,0.21,24.6,0.2,0.2,0.38,1.56,287,0.2,69,0.02,1.19,0.02,0.82,0.03,56.2,0.4,16,2.6,NA,2018,2016,4.649401917,0,90.10833022,89.84684348,2.943593575,2.951064625,0.261486739,0,3.190138214,3.99701158,3.399327606,3.190138214,0.597683975,0.597683975,0,10,1.016058126,0.441268437,0.470376841,26.66666667,26.66666667,66.66666667,0,0,0,6.666666667,6.666666667,6.666666667,6.666666667,0,0,0,58.45896147,58.45896147,38.52596315,0.67001675,0,0,2.345058626,2.345058626,2.345058626,2.345058626,0,0,0,75.95818815,75.95818815,17.53774681,3.600464576,0,0,2.903600465,2.903600465,2.903600465,2.903600465,0,0,0,0.007220884,0.155248412,0,0,0,0,0,8797.126273,0.730539221,50,129,91.85485614,15.37389702,79,0,19.14471817,4.484700984,2.570592392,19.14471817,994.06,973.99,39.13624161,38.3460837,17.93522869,1.489394103,23.20688295,1.927167766,29.39273513,16937.68461,2113.452792,4,0.905276073,12.47781406,0.454693939
State ProbMon,1BBGR005.15,2018,1BBGR005.15,-78.69665337,38.27763614,1,3790.5166,1,784,VA,TS,Target,1,Potomac-Shenandoah,Shenandoah,Bay,BayPhase2,Blue Ridge Mountains,Mountain,Phase2,Phase4,1,2,Small,Phase2Small,5.518201954,1,1,1,1,1,1,2020,9.485,6.98,26,0.35,0.02,26,1.40E-02,0.275,0.1,0.02,0.75,1,1.16,1.165,0.96,3.23,83.3,0.09,0.47,0.56,-0.254148096,2.545,1.904761905,1.904761905,3.80952381,1.902789534,89.09090909,16.36363636,181,20,13.5,29.55,30.45,6.36,8.18,34.55,3.58,85,81,77.23,0.8658,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.63,0.947,0.2,11,0.2,0.2,0.3,0.2,10,0.2,0.65,0.02,0.2,0.02,0.4,0.02,6.88,0.4,8,0.6,NA,2018,2016,5.518201954,0,98.41439628,98.41439628,0,0,0,0,1.522682942,1.585603725,1.585603725,1.522682942,0,0,0,5,0.494782352,0.30742556,0.27366359,100,100,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0,0,0,0,0,0,0.003711215,0.067199396,0,1,0,0,0,4783.993969,0.33472861,429,1025,680.6610141,122.7456859,596,0,42.98617172,21.33118856,6.963817891,42.98617172,2516.76,1466.65,99.08509288,57.74215717,109.3347521,7.649982396,0,0,-100,7861.058497,0,0,0,0,0
State ProbMon,1BNFS096.53,2018,1BNFS096.53,-78.88857269,38.6438632,1,315.8764,4,785,VA,TS,Target,1,Potomac-Shenandoah,Shenandoah,Bay,BayPhase2,Central Appalachian Ridges and Valleys,Mountain,Phase2,Phase4,4,4,Large,Phase2Large,144.9721079,1,1,1,1,1,1,2020,9.97,7.8,94,0.47,3.00E-03,60,0.01,0.26,0.1,0.01,0.58,1,2.41,1.86,2.1,7.31,0,0.12,0,0.12,NA,NA,NA,NA,NA,NA,NA,NA,173,15,8,25.45,10.9,27.27,29.09,52.73,4.28,62.73,40,61.16,0.5284,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.51,3.35,0.2,27.1,0.2,0.1,0.26,0.71,10,0.1,3.98,0.01,0.32,0.02,0.3,0.03,3.41,0.3,38,0.7,NA,2018,2016,144.9721079,0.036672092,89.45521571,88.99046286,0,0.12032281,0.418972654,0.045780193,2.719966636,10.38778939,2.92657672,2.674186443,7.461212672,7.239262627,0.221950044,13,1.103229356,0.430117403,0.557315892,87.0246085,87.0246085,0,0.447427293,0,0,5.81655481,10.73825503,6.935123043,5.81655481,3.803131991,3.803131991,0,84.81706414,84.62450007,0,0.237001926,0.177751444,0.01481262,6.162050067,13.98311361,6.843430603,6.147237446,7.13968301,7.095245149,0.044437861,79.03337537,78.67102435,0,0.149203361,0.353469866,0.008881152,7.241691682,20.50658093,8.2274996,7.232810529,12.27908133,11.95580739,0.323273948,0.241875282,0.166836445,0,0,0,0,0,200478.7115,0.533929124,335,1228,631.4128691,162.4539429,893,0,51.65534592,16.55828151,9.008635467,51.65534592,35810.1,883.73,1409.847218,34.79253847,1660.385344,4.422056013,1597.241188,4.253886019,-3.802982001,615368.1286,206108.7681,137,4.069113903,33.49357214,0.683364328
State ProbMon,2BACH000.46,2018,2BACH000.46,-79.05513211,37.39275884,1,947.6292,2,786,VA,TS,Target,1,James,James,Bay,BayPhase2,Piedmont,Piedmont,Phase2,Phase4,2,2,Small,Phase2Small,8.450047373,1,1,1,1,1,1,2020,10.99,7.6,122,0.235,1.50E-02,79,9.00E-03,0.135,0.1,0.01,2.4,1,4.17,1.98,7.24,5.93,100,0,0.28,0.28,-0.510930638,0.360714286,7.619047619,33.33333333,40.95238095,0.710301105,47.27272727,67.36363636,120,15,7.5,29.1,13.15,14.09,35,61.37,4.47,53.18,58.5,56.29,0.6768,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,2.98,0.2,23.9,0.2,0.2,0.3,0.46,106,0.2,13.4,0.02,0.2,0.02,0.4,0.02,8.81,0.4,42,0.3,NA,2018,2016,8.450047373,0.60832751,64.44983353,56.25796375,0.822064203,5.992848041,8.056229191,0.115088988,5.46261663,28.14747832,9.194788113,5.347527642,18.95269021,18.95269021,0,14,1.905129057,0.721897564,0.811672878,82.35294118,79.41176471,11.76470588,0,2.941176471,0,0,2.941176471,2.941176471,0,0,0,0,77.24425887,73.9039666,10.75156576,0.521920668,3.027139875,0,0.835073069,10.64718163,2.192066806,0.835073069,8.455114823,8.455114823,0,74.92492492,69.39439439,6.156156156,2.652652653,5.405405405,0,0.900900901,15.84084084,2.752752753,0.900900901,13.08808809,13.08808809,0,0.159286858,1.884130051,0,0,0,0,2,14199.90238,0.648822671,157,288,231.5582191,23.48378751,131,0,32.89302444,5.747208072,3.665606095,32.89302444,2144.95,1056.75,84.446896,41.60435318,874.3589031,39.95125206,1452.02447,66.34597691,66.06732828,104871.3965,7598.271835,14,2.109054806,7.245323404,0.985922271
State ProbMon,2BBUF006.39,2018,2BBUF006.39,-78.9500712,37.57498749,1,315.8764,4,787,VA,TS,Target,1,James,James,Bay,BayPhase2,Piedmont,Piedmont,Phase2,Phase4,4,4,Large,Phase2Large,139.1434095,1,1,1,1,1,1,2020,11.46,7.37,60,0.715,0.05,44,9.00E-03,0.275,0.1,0.02,4.27,4,3.545,1.58,4.56,2.69,82,0.69,3.17,3.86,-0.274681697,0.10375,0.952380952,55.23809524,56.19047619,0.672721058,25.45454545,71.18181818,130,19,11,12.73,18.2,31.82,3.64,53.64,5.06,53.64,41,69.48,0.5082,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.84,1.35,0.2,17.9,0.2,0.1,0.2,0.2,48.8,0.1,8.32,0.01,0.2,0.02,0.3,0.01,3.04,0.3,18,0.3,NA,2018,2016,139.1434095,0.437559159,71.55291044,68.07990949,0.006243709,2.130353669,3.451023094,0.021728109,4.177291379,25.87318277,6.2996531,4.15556327,19.57352967,19.47138258,0.102147087,15,1.522452102,0.562194933,0.683481214,71.89542484,70.47930283,0,0.980392157,1.416122004,0,1.851851852,24.07407407,2.941176471,1.851851852,21.1328976,20.69716776,0.435729847,71.60539366,69.97008074,0.024591172,1.188573302,1.631214394,0.004098529,2.475511291,24.24689536,3.774744867,2.471412763,20.4721505,20.02541088,0.44673962,70.03035998,67.99865067,0.020239988,1.289576406,2.021107417,0.010601899,4.18582237,26.79003422,5.824297624,4.175220471,20.96573659,20.56286444,0.402872151,1.463931672,1.052152456,0,1,0,1,8,357679.2083,0.992500779,145,1235,317.7578384,186.5330028,1090,0,41.93174744,10.01923027,7.03389529,41.93174744,40969.35,1120.91,1612.967406,44.13033879,7339.714101,20.36649544,7768.197779,21.55546694,5.837879684,1250768.324,334554.5207,401,3.581395495,26.7479208,1.121116326
State ProbMon,2BXRK001.64,2018,2BXRK001.64_2018,-78.7299,37.8114,1,3790.5166,1,788,VA,TS,Target,1,James,James,Bay,BayPhase2,Northern Piedmont,Piedmont,Phase2,Phase4,1,1,Small,Phase2Small,0.759981027,1,1,1,1,1,1,2020,9.065,6.37,39.5,0.145,1.50E-02,32,0.01,3.50E-02,0.1,0.01,2.18,3,3.355,0.942,6.16,1.44,25,4.01,1.34,5.34,-1.584787052,1.3,0.952380952,70.47619048,71.42857143,8.06E-02,29.09090909,72.63636364,149.5,21,10.5,14.1,15.95,25,16.36,36.82,4.36,70.91,39,70.45,0.6549,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.57,0.777,0.2,15,0.2,0.1,0.2,0.2,139,0.1,14.5,0.01,0.2,0.02,1.09,0.01,21.8,0.3,7,0.6,NA,2018,2016,0.759981027,0.091491308,95.79139982,95.42543458,0,0.823421775,0.365965233,0,3.247941446,3.2936871,3.2936871,3.247941446,0,0,0,8,0.979180965,0.470886507,0.564320985,100,100,0,0,0,0,0,0,0,0,0,0,0,97.2972973,97.2972973,0,1.351351351,0,0,0,0,0,0,0,0,0,94.14483821,93.52850539,0,2.157164869,0.61633282,0,3.389830508,3.389830508,3.389830508,3.389830508,0,0,0,0.00107375,0.141354071,0,0,0,0,0,2234.898342,1.135415516,177,345,238.5459057,38.44920675,168,0,31.12396431,11.22816596,5.908629341,31.12396431,1213.07,1207.51,47.75868721,47.53978945,16.06759167,8.162963184,10.86776767,5.521249806,-32.3621866,4991.611487,1642.531601,2,2.834208991,32.90583823,0.89489529
State ProbMon,2-EKE000.39,2018,2-EKE000.39,-79.50667386,37.58949575,1,947.6292,2,789,VA,TS,Target,1,James,James,Bay,BayPhase2,Blue Ridge Mountains,Mountain,Phase2,Phase4,2,2,Small,Phase2Small,6.037927651,1,1,1,1,1,1,2020,9.55,6.845,22,7.00E-02,3.00E-03,16,9.00E-03,2.50E-02,0.03,7.00E-03,1.11,1,0.775,0.781,0.68,2.68,57.1,0.28,0.38,0.66,-4.99E-02,1.93125,0,3.80952381,3.80952381,2.023175396,92.72727273,23.72727273,173.5,13.5,9,37.28,13.65,5.46,27.28,53.19,4.53,65.91,72,59.22,0.9112,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.17,0.64,0.2,11.6,0.2,0.2,0.3,0.2,10,0.2,0.38,0.02,0.2,0.02,0.4,0.02,13.7,0.4,6,0.5,NA,2018,2016,6.037927651,0,95.32355479,93.27581248,0,0.304860512,1.576071326,0.471670981,3.232671844,4.371584699,2.950819672,2.761000863,1.420765027,1.420765027,0,9,1.121117676,0.510242643,0.584644692,100,100,0,0,0,0,0,0,0,0,0,0,0,98.5985986,98.5985986,0,0,0,0,0.900900901,1.401401401,0.900900901,0.900900901,0.500500501,0.500500501,0,91.29226494,91.2459472,0,0.138953219,0.02315887,0.02315887,6.808707735,8.568781843,7.063455303,6.785548865,1.50532654,1.50532654,0,0.007523202,0.124532643,0,0,0,0,0,14517.53165,0.928334901,260,1109,570.5783565,175.7978473,849,0,48.13666534,19.66832737,9.209182613,48.13666534,2196.29,1002.57,86.46815693,39.47128116,267.02051,17.07483509,100.9541345,6.455590985,-62.192367,31113.07817,19412.78751,8,4.993072538,62.39430056,0.551057865
